TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
287.4,hybrid,x00415,Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid),Greater White-fronted x Canada Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.5,hybrid,x00758,Anser anser x Branta canadensis,Graylag Goose x Canada Goose (hybrid),Greylag Goose x Canada Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.6,hybrid,gragoo4,Anser anser (Domestic type) x Branta canadensis,Graylag Goose (Domestic type) x Canada Goose (hybrid),Greylag Goose (Domestic type) x Canada Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.65,hybrid,x00759,Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.7,hybrid,x00197,Chen caerulescens x Branta canadensis,Snow x Canada Goose (hybrid),Snow x Canada Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.8,hybrid,x00693,Chen rossii x Branta canadensis,Ross's x Canada Goose (hybrid),Ross's x Canada Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.9,hybrid,x00417,Branta leucopsis x canadensis,Barnacle x Canada Goose (hybrid),Barnacle x Canada Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
288,slash,y00470,Branta hutchinsii/canadensis,Cackling/Canada Goose,Cackling/Canada Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
288.5,hybrid,y00765,Chen caerulescens/rossii x Branta hutchinsii/canadensis,Snow/Ross's x Cackling/Canada Goose (hybrid),Snow/Ross's x Cackling/Canada Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
289,species,hawgoo,Branta sandvicensis,Hawaiian Goose,Nene,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
290,species,rebgoo1,Branta ruficollis,Red-breasted Goose,Red-breasted Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
291,spuh,branta1,Branta sp.,Branta sp.,Branta sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
292,spuh,goose1,Anser/Chen/Branta sp.,goose sp.,goose sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
293,species,cabgoo1,Cereopsis novaehollandiae,Cape Barren Goose,Cape Barren Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
294,species,freduc1,Stictonetta naevosa,Freckled Duck,Freckled Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
295,species,buwgoo1,Cyanochen cyanoptera,Blue-winged Goose,Blue-winged Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
296,species,mutswa,Cygnus olor,Mute Swan,Mute Swan,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
297,species,blkswa,Cygnus atratus,Black Swan,Black Swan,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
298,species,blnswa2,Cygnus melancoryphus,Black-necked Swan,Black-necked Swan,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
299,species,truswa,Cygnus buccinator,Trumpeter Swan,Trumpeter Swan,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
302,species,tunswa,Cygnus columbianus,Tundra Swan,Tundra Swan,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
303,issf,tunswa1,Cygnus columbianus columbianus,Tundra Swan (Whistling),Tundra Swan (Whistling),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
